Fecha y hora (NY);Simbolo;Lado;Cantidad;Precio;Importe;Comision;Tasas;Neto;ID de la orden;ID de la ejecucion;Notas
2026-07-22 11:31:09;ESP;Compra;10.0;58.75;587.5;;;;a521797a-5985-4b9f-bf71-22b2c3169ebd;20260722113109858::9ecf4f9c-af21-4c6e-ba6d-93ac8e8b5bf5;
2026-07-22 11:31:35;ESP;Venta;10.0;58.82;588.2;;;;e8aa4231-0795-4143-b5b3-481438df4c31;20260722113135361::319f506a-528a-4fe4-9bc5-be7e8ccf93ed;
2026-07-22 11:35:54;PARK;Compra;10.0;19.53;195.3;;;;8a8c427c-f99c-4276-afd0-ba2df91aa247;20260722113554420::b432e03f-7220-41d5-9ee2-b64d0f8b00a9;
2026-07-22 11:37:08;PARK;Venta;10.0;19.58;195.8;;;;8794e91c-751e-421c-bb50-a0b9192c13fc;20260722113708981::60136ed0-ec9f-44b3-a819-29afa67034ab;
2026-07-22 12:19:12;EXOZ;Compra;10.0;5.03;50.3;;;;fdee69b9-edbd-4a51-bff7-fb8944954c30;20260722121912671::f498cf75-cc36-4153-ac8d-0ba027f11fa5;
2026-07-22 12:19:21;EXOZ;Venta;10.0;5.1;51.0;;;;ce1762ba-9b05-4dc7-bb0d-31a67b9f7421;20260722121921095::9ffd2b2f-3359-4cb1-9082-4498a278bd95;
2026-07-22 12:21:03;UNB;Compra;10.0;25.15;251.5;;;;377ddbde-6886-47db-850d-d24ae57e0b7c;20260722122103924::0fd90f48-3e27-4d32-a5a7-cae279e77032;
2026-07-22 12:21:11;UNB;Venta;10.0;25.28;252.8;;;;481e3882-2955-4045-a09d-36c1bf7b176d;20260722122111140::451be493-2e9e-4dc5-b2c6-8ab26cd5917c;
2026-07-22 12:21:32;ASA;Compra;10.0;52.09;520.9;;;;af0a951a-a299-4191-bdac-ac7fba179463;20260722122132566::4e97e9c5-91ca-4682-9cd2-556eb0a5b3bb;
2026-07-22 12:21:37;ASA;Venta;10.0;52.29;522.9;;;;dcb9ccfd-566b-4d57-bdb5-2b914946331a;20260722122137634::fc31c810-f8d2-48c6-a404-7fc9157fb2ad;
2026-07-22 12:23:16;TTRX;Venta;10.0;9.95;99.5;;;;64a30a46-a94c-4868-9968-23ea017c17da;20260722122316927::c49ed9e1-be95-4982-a18e-b139baf3749e;
2026-07-22 12:23:16;TTRX;Compra;10.0;9.82;98.2;;;;1593636e-1b59-4b52-bb5f-7f632e81dac3;20260722122316136::fffb0972-e485-4593-ac24-6b1686f74cf0;
2026-07-22 15:30:55;AGCC;Compra;10.0;15.07;150.7;;;;f73e16a0-eaae-4996-9be9-9e751756b5f1;20260722153055952::fe484887-894f-47bb-a36f-ba3a83c25c0a;ejecucion parcial
2026-07-22 15:37:07;AGCC;Venta;10.0;15.1;151.0;;;;c28b9b57-9bd1-4015-b9c8-e0083eccb455;20260722153707654::0f7fee37-b1e2-4294-8855-df1d6674e6b4;
2026-07-23 13:35:21;IFS;Compra;40.0;58.89;2355.6;;;;17fd13d6-4c94-4549-beea-126998c5803f;20260723133521236::c6648ee4-de9b-4b13-aa0b-5bebb36d8bf5;
2026-07-23 13:35:26;IFS;Venta;40.0;58.98;2359.2;;;;c566ef93-671b-4378-bea4-7de19404f0af;20260723133526299::d8f93395-aa74-444b-ab4a-96717a682fda;
2026-07-23 13:36:06;LINK;Compra;40.0;4.73;189.2;;;;eac83637-11c5-4a58-9f9b-63d8384ba51b;20260723133606972::ab98a900-f846-4b36-84d6-4af158583523;
2026-07-23 13:36:09;LINK;Venta;40.0;4.76;190.4;;;;4b8c5b40-be00-403b-a0a6-269f0b90caff;20260723133609946::895d285e-0a78-452c-b70d-019cdf677b65;
